0.27739E-04 0.26256E-06 0.00000E+01 94008 0 0 4648 0.16770E+09 0.00000E+01 0.27739E-04 0.00000E+01 0.00000E+01 0
1 2.8074e-05 2.4861e-06 5.13 0.0040163 2.8074e-05
2 2.6934e-05 8.9408e-07 2.7195 0.0018732 2.6934e-05
3 2.7414e-05 4.1066e-07 1.7356 0.00060935 2.7414e-05
4 3.2337e-05 2.5137e-06 4.5033 0.002139 3.2337e-05
5 2.6582e-05 7.1887e-07 2.2156 0.00089329 2.6582e-05
6 2.8237e-05 4.2335e-07 1.7371 0.00088224 2.8237e-05
7 2.3294e-05 2.1045e-06 5.2338 0.0026718 2.3294e-05
8 2.8694e-05 9.0197e-07 2.5753 0.001748 2.8694e-05
9 2.7998e-05 4.0746e-07 1.6862 0.00052484 2.7998e-05
10 2.7955e-05 2.4041e-06 4.982 0.0026606 2.7955e-05
11 2.7596e-05 8.3542e-07 2.4801 0.0011987 2.7596e-05
12 2.7608e-05 3.9288e-07 1.6488 0.0009985 2.7608e-05
