1 2    1 -2    3 -4
2 2    21 -4    21 -2
3 2    1 21    3 21
4 2    -4 3    -2 1
5 2    21 1    21 3
6 2    -4 21    -2 21
7 2    2 -1    4 -3
8 2    21 -3    21 -1
9 2    2 21    4 21
10 2    -3 4    -1 2
11 2    21 2    21 4
12 2    -3 21    -1 21
