             1             1
             2             1
             3             1
             4             1
             5             1
             6            -5
             7             1
             8            -7
             9             1
            10            -9
            11             1
            12           -11
13.022             1
13.023             1
13.025             1
13.026             1
14.067             1
14.068             1
14.070             1
14.071             1
14.076             1
14.077             1
14.079             1
14.080             1
15.067             1
15.068             1
15.070             1
15.071             1
15.076             1
15.077             1
15.079             1
15.080             1
16.202             1
16.203             1
16.205             1
16.206             1
16.211             1
16.212             1
16.214             1
16.215             1
16.229             1
16.230             1
16.232             1
16.233             1
16.238             1
16.239             1
16.241             1
16.242             1
17.067             1
17.068             1
17.070             1
17.071             1
17.076             1
17.077             1
17.079             1
17.080             1
            18           -17
19.067             1
19.068             1
19.070             1
19.071             1
19.076             1
19.077             1
19.079             1
19.080             1
            20           -19
21.022             1
21.023             1
21.025             1
21.026             1
            22           -21
23.067             1
23.068             1
23.070             1
23.071             1
23.076             1
23.077             1
23.079             1
23.080             1
            24           -23
