             1             1
             2             1
             3            -2
             4            -2
             5            -2
             6             1
             7            -6
8.022             1
8.023             1
8.025             1
8.026             1
9.022             1
9.023             1
9.025             1
9.026             1
            10            -9
            11            -9
            12            -9
13.022             1
13.023             1
13.025             1
13.026             1
            14           -13
