0.23088E-04 0.12041E-06 0.00000E+01 142675 0 0 8238 0.35690E+09 0.00000E+01 0.23088E-04 0.00000E+01 0.00000E+01 0
1 2.122e-05 1.8042e-06 5.4277 0.002517 2.122e-05
2 2.3814e-05 6.1244e-07 2.3217 0.00095769 2.3814e-05
3 2.2708e-05 2.7116e-07 1.5246 0.00042068 2.2708e-05
4 2.2382e-05 1.6762e-06 4.7806 0.0017491 2.2382e-05
5 2.3396e-05 6.3388e-07 2.446 0.00095062 2.3396e-05
6 2.292e-05 2.7407e-07 1.5267 0.00042172 2.292e-05
7 2.2788e-05 1.8316e-06 5.1309 0.0038878 2.2788e-05
8 2.4116e-05 6.5036e-07 2.4346 0.0011345 2.4116e-05
9 2.306e-05 2.7106e-07 1.5007 0.00040198 2.306e-05
10 2.1383e-05 1.9322e-06 5.7683 0.0038311 2.1383e-05
11 2.3809e-05 6.4889e-07 2.4604 0.001125 2.3809e-05
12 2.3284e-05 2.7015e-07 1.4813 0.00040801 2.3284e-05
13 2.5129e-05 2.2479e-06 5.7103 0.0042488 2.5129e-05
14 2.3169e-05 6.3959e-07 2.4921 0.0010903 2.3169e-05
15 2.2957e-05 2.6825e-07 1.4918 0.00054499 2.2957e-05
